
 ,30 39, 
 ,14 47 47 14 14 52 52 14 14 57 57 14 47 47 47 47 47 52 52 47 47 57 57 47 52 47 47 52 52 52 52 52 52 57 57 52,32 4 32 6 32 8 4 4 4 4 4 6 6 4 4 8 8 4 6 4 4 6 6 6 6 6 6 8 8 6
 ,103 107 107 103 103 112 112 103 103 123 123 103 107 107 107 107 107 112 112 107 107 123 123 107 112 107 107 112 112 112 112 112 112 123 123 112,71 73 71 23 23 71 71 25 25 71 73 73 73 73 73 23 23 73 73 25 25 73 23 73 73 23 23 23 23 23 23 25 25 23

 ,1 10 10 1,33 7 7 33
98 101 101 98 98 107 107 98 98 119 119 98 86 98 101 101 101 101 101 107 107 101 101 119 119 101 86 101 107 101 101 107 107 107 107 107 107 119 119 107 86 107 119 101 101 119 119 107 107 119 119 119 119 119 86 119,0 9 9 0 0 2 2 0 0 11 11 0 9 9 9 9 9 2 2 9 9 11 11 9 2 9 9 2 2 2 2 2 2 11 11 2, 

 ,75 84 84 75 75 41 41 75 51 75 84 84 84 84 84 41 41 84 51 84 41 84 84 41 41 41 41 41 51 41, 

 , ,33 7 7 33 33 46 46 33 33 21 21 33 7 7 7 7 7 46 46 7 7 21 21 7 46 7 7 46 46 46 46 46 46 21 21 46










 ,51 7 7 51,30 70
89 99 99 89 89 115 115 89 99 99 99 99 99 115 115 99, ,106 110
















 ,31 25 25 31, 



























 ,57 58 58 57 57 59 59 57 57 60 60 57 28 57 58 58 58 58 58 59 59 58 58 60 60 58 28 58 59 58 58 59 59 59 59 59 59 60 60 59 28 59 60 58 58 60 60 59 59 60 60 60 60 60 28 60, 


 ,35 10 10 35, 


 , ,8 14 14 8 8 62 62 8 8 81 81 8 8 33 33 8 14 14 14 14 62 14 14 81 81 14 14 33 33 14 62 14 62 62 62 62 62 81 81 62 62 33 33 62 81 14 14 81 81 62 62 81 81 81 81 81 81 33 33 81



 ,66 101 101 66 66 35 35 66 66 115 115 66 66 128 128 66 66 83 83 66 66 21 21 66 66 23 23 66 66 124 124 66 66 73 73 66 101 101 101 101 101 35 35 101 101 115 115 101 101 128 128 101 101 83 83 101 101 21 21 101 101 23 23 101 101 124 124 101 101 73 73 101 35 101 101 35 35 35 35 35 35 115 115 35 35 128 128 35 35 83 83 35 35 21 21 35 35 23 23 35 35 124 124 35 35 73 73 35 115 101 101 115 115 35 35 115 115 115 115 115 115 128 128 115 115 83 83 115 115 21 21 115 115 23 23 115 115 124 124 115 115 73 73 115 128 101 101 128 128 35 35 128 128 115 115 128 128 128 128 128 128 83 83 128 128 21 21 128 128 23 23 128 128 124 124 128 128 73 73 128 83 101 101 83 83 35 35 83 83 115 115 83 83 128 128 83 83 83 83 83 83 21 21 83 83 23 23 83 83 124 124 83 83 73 73 83 21 101 101 21 21 35 35 21 21 115 115 21 21 128 128 21 21 83 83 21 21 21 21 21 21 23 23 21 21 124 124 21 21 73 73 21 23 101 101 23 23 35 35 23 23 115 115 23 23 128 128 23 23 83 83 23 23 21 21 23 23 23 23 23 23 124 124 23 23 73 73 23 124 101 101 124 124 35 35 124 124 115 115 124 124 128 128 124 124 83 83 124 124 21 21 124 124 23 23 124 124 124 124 124 124 73 73 124, 

 ,0 70 70 0,53 59

 ,34 44 44 34 34 55 55 34 34 27 27 34 44 44 44 44 44 55 55 44 44 27 27 44 55 44 44 55 55 55 55 55 55 27 27 55, 








 , ,65 69 69 65


36 91 91 36 36 84 84 36 81 36 91 91 91 91 91 84 84 91 81 91 84 91 91 84 84 84 84 84 81 84, , 






63 71 63 73 63 77 71 71 71 71 71 73 73 71 71 77 77 71 73 71 71 73 73 73 73 73 73 77 77 73,57 60 60 57, 
































 ,110 118 110 124 110 82 82 110 118 118 118 118 118 124 124 118 118 82 82 118 124 118 118 124 124 124 124 124 124 82 82 124,41 125 125 41 41 127 127 41 41 12 12 41 125 125 125 125 125 127 125 12 12 125 125 127 127 127 127 127 127 12 12 127

 , ,81 64 64 81 81 88 88 81 81 98 98 81 64 64 64 64 64 88 88 64 64 98 98 64 88 64 64 88 88 88 88 88 88 98 98 88




 ,3 8 8 3 0 3 8 8 8 8 0 8, 







73 76 73 62 62 73 76 76 76 76 76 62 62 76,55 58 58 55, 


 ,20 9 9 20 20 40 40 20 9 9 9 9 9 40, 
 ,42 13 13 42 42 58 42 21 21 42 42 69 42 31 31 42 13 13 13 13 13 58 58 13 13 21 21 13 13 69 69 13 13 31 31 13 58 13 13 58 58 58 58 58 58 21 21 58 58 69 69 58 58 31 31 58 21 13 13 21 21 58 58 21 21 21 21 21 21 69 69 21 21 31 31 21 69 13 13 69 69 58 58 69 69 21 21 69 69 69 69 69 69 31 31 69, 



 ,5 0, 















 , ,54 17 17 54 54 60 60 54 54 26 26 54 17 17 17 17 17 60 60 17 17 26 26 17 60 17 17 60 60 60 60 60 60 26 26 60
 ,57 4 4 57, 













 ,4 49 49 4 4 17 17 4 49 49 49 49 49 17, 


 ,82 103 103 82 82 107 107 82 103 103 103 103 103 107 107 103, 









 ,100 93 93 107 107 93 93 118 118 93 93 120 120 93 100 100 100 100 100 107 107 100 100 118 118 100 100 120 120 100 107 100 100 107 107 107 107 107 107 118 118 107 107 120 120 107 118 100 100 118 118 107 107 118 118 118 118 118 118 120 120 118,75 111 111 75





73 64 64 83 83 64 73 73 73 73 73 83 83 73, , 











 ,63 73 73 63 63 77 77 63 63 33 33 63 63 56 56 63 63 43 43 63 73 73 73 73 73 77 73 33 33 73 73 56 56 73 73 43 43 73 73 77 77 77 77 77 77 33 33 77 77 56 56 77 77 43 43 77 33 73 73 33 33 77 77 33 33 33 33 33 33 56 56 33 33 43 43 33 56 73 73 56 56 77 77 56 56 33 33 56 56 56 56 56 56 43 43 56,50 18 18 50



 ,16 24 24 16 16 26 26 16 16 88 88 16 16 95 95 16 24 24 24 24 24 26 26 24 24 88 88 24 24 95 95 24 26 24 24 26 26 26 26 26 26 88 88 26 26 95 95 26 88 24 24 88 88 26 26 88 88 88 88 88 88 95 95 88, 









41 52 52 41, ,9 58 58 9


 , ,38 47 47 38 38 20 20 38 38 53 53 38 47 47 47 47 47 20 47 53 53 47 47 20 20 20 20 20 20 53 53 20


 ,39 36 39 49 49 39 36 36 36 36 36 49 49 36, 


49 11, , 





 , ,20 28 28 20 20 30 30 20 20 16 16 20 20 18 18 20 28 28 28 28 28 30 30 28 28 16 16 28 28 18 18 28 30 28 28 30 30 30 30 30 30 16 30 18 16 28 28 16 30 16 16 16 16 16 16 18 18 16



 , ,60 14 60 19 60 24 60 29 60 85 60 40 40 60 60 90 90 60 14 14 14 14 14 19 19 14 14 24 24 14 14 29 29 14 14 85 85 14 14 40 40 14 14 90 90 14 19 14 14 19 19 19 19 19 19 24 24 19 19 29 29 19 19 85 85 19 19 40 40 19 19 90 90 19 24 14 14 24 24 19 19 24 24 24 24 24 24 29 29 24 24 85 85 24 24 40 40 24 24 90 90 24 29 14 14 29 29 19 19 29 29 24 24 29 29 29 29 29 29 85 85 29 29 40 40 29 29 90 90 29 85 14 14 85 85 19 19 85 85 24 24 85 85 29 29 85 85 85 85 85 85 40 40 85 85 90 90 85 40 14 14 40 40 19 19 40 40 24 24 40 40 29 29 40 40 85 85 40 40 40 40 40 40 90
 ,19 32 32 19,30 38
40 46 46 40,29 40 29 46 40 40 40 40 40 46 46 40, 
 , ,11 60 60 11 11 72 72 11 11 76 76 11 11 79 79 11 11 72 72 11 60 60 60 60 60 72 72 60 60 76 76 60 60 79 60 72 72 60 60 72 72 72 72 72 72 76 76 72 72 79 79 72 72 72 72 72 76 60 60 76 76 72 72 76 76 76 76 76 76 79 79 76 76 72 72 76 60 79 79 72 72 79 79 76 76 79 79 79 79 79 79 72 72 79














 ,79 84 79 89 79 114 114 79 84 84 84 84 84 89 89 84 84 114 114 84 89 84 84 89 89 89 89 89 89 114 114 89, 

 ,4 7 7 4 0 4 7 7 7 7 0 7, 
80 62 62 80,60 71 71 60 60 86 86 60 71 71 71 71 71 86, 

 , ,30 13 13 30
 ,55 63 63 55,42 48





30 40 40 41 41 40 40 47 47 40 30 30 30 30 30 41 41 30 30 47 47 30 41 30 30 41 41 41 41 41 41 47 47 41, , 


 ,31 7 7 31 31 9 9 31 31 12 12 31 31 14 14 31 7 7 7 7 9 7 7 12 12 7 7 14 14 7 9 7 9 9 9 9 9 12 12 9 9 14 14 9 12 7 7 12 12 9 9 12 12 12 12 12 14 12, 
36 8, ,24 43 43 24
 ,46 22 22 46 46 58 58 46 22 22 22 22 22 58 58 22,7 46 46 7


















 ,53 60, 
















 ,80 60 60 80 43 80 80 70 70 80 60 60 60 60 43 60 60 70 70 60 43 60 43 43 43 43 43 70, 
 ,22 3 3 22 31 22 22 39 39 22 22 42 42 22 22 40 40 22 3 3 3 3 3 31 31 3 3 39 39 3 3 42 42 3 3 40 40 3 31 3 3 31 31 31 31 31 39 31 31 42 42 31 31 40 40 31 39 3 3 39 39 31 39 39 39 39 39 42 42 39 39 40 40 39 42 3 3 42 42 31 31 42 42 39 39 42 42 42 42 42 42 40 40 42, 


















30 33 33 30, ,47 41





 ,34 8 8 34 34 43 43 34 34 15 15 34 34 52 52 34 8 8 8 8 8 43 43 8 8 15 15 8 8 52 52 8 43 8 8 43 43 43 43 43 43 15 15 43 43 52 52 43 15 8 8 15 15 43 43 15 15 15 15 15 15 52 52 15, 









 , ,48 18 18 48 48 58 58 48 34 48 18 18 18 18 18 58 58 18 18 34 34 18 58 18 18 58 58 58 58 58 34 58





 ,12 3 3 12, 















 ,48 57 57 48 48 62 62 48 48 30 30 48 48 55 55 48 57 57 57 57 57 62 62 57 57 30 30 57 57 55 55 57 62 57 57 62 62 62 62 62 62 30 30 62 62 55 55 62 30 57 57 30 30 62 62 30 30 30 30 30 30 55 55 30, 



 ,24 40 40 24 24 42 42 24 24 155 155 24 24 157 157 24 24 160 160 24 24 136 136 24 40 40 40 40 40 42 42 40 40 155 155 40 40 157 157 40 40 160 160 40 40 136 136 40 42 40 40 42 42 42 42 42 42 155 155 42 42 157 157 42 42 160 160 42 42 136 136 42 155 40 40 155 155 42 42 155 155 155 155 155 155 157 157 155 155 160 160 155 136 155 157 40 40 157 157 42 42 157 157 155 155 157 157 157 157 157 157 160 160 157 136 157 160 40 40 160 160 42 42 160 160 155 155 160 160 157 157 160 160 160 160 160 136 160, 












 , ,21 32 32 21 21 13 13 21 21 39 39 21 21 19 19 21 32 32 32 32 32 13 32 39 32 19 32 13 13 13 13 13 13 39 39 13 13 19 19 13 32 39 39 13 13 39 39 39 39 39 39 19 19 39

 ,20 0 0 27 27 0 20 20 20 20 20 27 27 20, 







 ,18 23, 






 ,56 6 6 56 56 32 32 56 56 98 98 56 6 6 6 6 6 32 32 6 6 98 98 6 32 6 6 32 32 32 32 32 32 98 98 32, 









 ,22 15 15 28 28 15 22 22 22 22 22 28 28 22, 









 ,2 40 40 2 2 43 43 2 2 23 23 2 2 27 27 2 2 60 60 2 40 40 40 40 40 43 43 40 40 23 23 40 40 27 27 40 40 60 60 40 43 40 40 43 43 43 43 43 43 23 23 43 43 27 27 43 43 60 60 43 23 40 40 23 23 43 43 23 23 23 23 23 23 27 27 23 23 60 60 23 27 40 40 27 27 43 43 27 27 23 23 27 27 27 27 27 27 60 60 27, 
 ,7 50 50 7 7 25 25 7 7 27 27 7 50 50 50 50 50 25 25 50 50 27 27 50 25 50 50 25 25 25 25 25 25 27 27 25, 










 ,31 8 8 31 31 42 42 31 8 8 8 8 8 42 42 8, 







 , ,36 5












 , ,6 55 55 6 6 70 70 6 6 72 72 6 6 74 74 6 6 79 79 6 55 55 55 55 55 70 70 55 55 72 72 55 55 74 74 55 55 79 79 55 70 55 55 70 70 70 70 70 70 72 70 74 74 70 70 79 79 70 72 55 55 72 70 72 72 72 72 72 72 74 74 72 72 79 79 72 74 55 55 74 74 70 70 74 74 72 72 74 74 74 74 74 74 79




 ,43 10 10 43 43 50 50 43 43 58 58 43 43 60 60 43 10 10 10 10 10 50 50 10 10 58 58 10 10 60 60 10 50 10 10 50 50 50 50 50 50 58 58 50 50 60 60 50 58 10 10 58 58 50 50 58 58 58 58 58 58 60 60 58,6 6 6 6 6 25 25 6 6 6 6 6 6 25 25 6


 ,76 32 32 76 76 6 6 76 32 32 32 32 32 6 6 32,11 60 60 11 56 11 11 67 67 11 11 64 64 11 60 60 60 60 56 60 60 67 67 60 60 64 64 60 56 60 56 56 56 56 56 67 56 64 64 56 67 60 60 67 56 67 67 67 67 67 67 64 64 67
 , ,43 6 6 49 49 6 6 14 14 6 6 57 57 6 6 20 20 6 43 43 43 43 43 49 43 14 43 57 57 43 43 20 20 43 43 49 49 49 49 49 49 14 14 49 49 57 57 49 49 20 20 49 43 14 14 49 49 14 14 14 14 14 14 57 57 14 14 20 20 14 57 43 43 57 57 49 49 57 57 14 14 57 57 57 57 57 57 20










51 28 33 28 51 51 51 51 51 33 33 51, , 
35 28 49 28 35 35 35 35 35 49 49 35, , 






















37 48 48 37 37 12 12 37 37 69 69 37 48 48 48 48 48 12 12 48 48 69 69 48 12 48 48 12 12 12 12 12 12 69 69 12, , 





 ,35 1 1 42 42 1 35 35 35 35 35 42 42 35,50 52 52 50





32 23 42 23 32 32 32 32 32 42 42 32, , 



17 3 3 17, , 
 ,47 14 14 47, 

 ,48 17 17 48 48 54 54 48 48 57 57 48 17 17 17 17 17 54 54 17 17 57 57 17 54 17 17 54 54 54 54 54 54 57 57 54, 


 ,35 5 5 35 35 57 57 35 35 61 61 35 5 5 5 5 5 57 57 5 5 61 61 5 57 5 5 57 57 57 57 57 57 61 61 57,43 63 63 43





52 45, ,35 6 10 6 13 6 35 35 35 35 35 10 10 35 35 13 13 35 10 35 35 10 10 10 10 10 10 13 13 10















22 32, , 





115 197 197 115 115 186 186 115 197 197 197 197 197 186 186 197,138 29 29 138 138 161 161 138 138 62 62 138 138 178 178 138 138 68 68 138 138 190 190 138 138 195 195 138 138 202 202 138 138 205 205 138 138 219 219 138 29 29 29 29 29 161 161 29 29 62 62 29 29 178 178 29 29 68 68 29 29 190 190 29 29 195 195 29 29 202 202 29 29 205 205 29 29 219 219 29 161 29 29 161 161 161 161 161 161 62 62 161 161 178 178 161 161 68 68 161 161 190 190 161 161 195 195 161 161 202 202 161 161 205 205 161 161 219 219 161 62 29 29 62 62 161 161 62 62 62 62 62 62 178 178 62 62 68 68 62 62 190 190 62 62 195 195 62 62 202 202 62 62 205 205 62 62 219 219 62 178 29 29 178 178 161 161 178 178 62 62 178 178 178 178 178 178 68 68 178 178 190 190 178 178 195 195 178 178 202 202 178 178 205 205 178 178 219 219 178 68 29 29 68 68 161 161 68 68 62 62 68 68 178 178 68 68 68 68 68 68 190 190 68 68 195 195 68 68 202 202 68 68 205 205 68 68 219 219 68 190 29 29 190 190 161 161 190 190 62 62 190 190 178 178 190 190 68 68 190 190 190 190 190 190 195 195 190 190 202 202 190 190 205 205 190 190 219 219 190 195 29 29 195 195 161 161 195 195 62 62 195 195 178 178 195 195 68 68 195 195 190 190 195 195 195 195 195 195 202 202 195 195 205 205 195 195 219 219 195 202 29 29 202 202 161 161 202 202 62 62 202 202 178 178 202 202 68 68 202 202 190 190 202 202 195 195 202 202 202 202 202 202 205 205 202 202 219 219 202 205 29 29 205 205 161 161 205 205 62 62 205 205 178 178 205 205 68 68 205 205 190 190 205 205 195 195 205 205 202 202 205 205 205 205 205 205 219 219 205,96 215






49 86 86 49,59 16 16 59 59 64 64 59 59 23 23 59 59 70 70 59 59 30 30 59 59 78 78 59 59 37 37 59 16 16 16 16 16 64 64 16 16 23 23 16 16 70 70 16 16 30 30 16 16 78 78 16 16 37 37 16 64 16 16 64 64 64 64 64 64 23 23 64 64 70 70 64 64 30 30 64 64 78 78 64 64 37 37 64 23 16 16 23 23 64 64 23 23 23 23 23 23 70 70 23 23 30 30 23 23 78 78 23 23 37 37 23 70 16 16 70 70 64 64 70 70 23 23 70 70 70 70 70 70 30 30 70 70 78 78 70 70 37 37 70 30 16 16 30 30 64 64 30 30 23 23 30 30 70 70 30 30 30 30 30 30 78 78 30 30 37 37 30 78 16 16 78 78 64 64 78 78 23 23 78 78 70 70 78 78 30 30 78 78 78 78 78 78 37 37 78, 





 ,0 2 2 0 0 20 2 2 2 2 2 20 20 2, 







142 153,105 110 110 105 105 123 123 105 105 124 124 105 105 128 128 105 105 131 131 105 105 138 138 105 105 144 144 105 105 155 155 105 105 167 167 105 110 110 110 110 110 123 123 110 110 124 124 110 110 128 128 110 110 131 131 110 110 138 138 110 110 144 144 110 110 155 155 110 110 167 167 110 123 110 110 123 123 123 123 123 123 124 124 123 123 128 128 123 123 131 131 123 123 138 138 123 123 144 144 123 123 155 155 123 123 167 167 123 124 110 110 124 124 123 123 124 124 124 124 124 124 128 128 124 124 131 131 124 124 138 138 124 124 144 144 124 124 155 155 124 124 167 167 124 128 110 110 128 128 123 123 128 128 124 124 128 128 128 128 128 128 131 131 128 128 138 138 128 128 144 144 128 128 155 155 128 128 167 167 128 131 110 110 131 131 123 123 131 131 124 124 131 131 128 128 131 131 131 131 131 131 138 138 131 131 144 144 131 131 155 155 131 131 167 167 131 138 110 110 138 138 123 123 138 138 124 124 138 138 128 128 138 138 131 131 138 138 138 138 138 138 144 144 138 138 155 155 138 138 167 167 138 144 110 110 144 144 123 123 144 144 124 124 144 144 128 128 144 144 131 131 144 144 138 138 144 144 144 144 144 144 155 155 144 144 167 167 144 155 110 110 155 155 123 123 155 155 124 124 155 155 128 128 155 155 131 131 155 155 138 138 155 155 144 144 155 155 155 155 155 155 167 167 155, 




























 , ,37 41 41 37 37 45 45 37 37 22 22 37 41 41 41 41 41 45 45 41 41 22 22 41 45 41 41 45 45 45 45 45 45 22 22 45

 , ,8 30 30 8 8 34 34 8 30 30 30 30 30 34 34 30
 , ,6 19 19 6

 ,34 53 53 34 34 12 12 34 53 53 53 53 53 12 12 53, 

 , ,32 11 11 32





 , ,29 14 14 29













 ,1 20 1 23 20 20 20 20 20 23 23 20, 







 ,40 43 43 40 40 12 12 40 40 57 57 40 40 21 21 40 40 63 63 40 43 43 43 43 43 12 12 43 43 57 57 43 43 21 21 43 43 63 63 43 12 43 43 12 12 12 12 12 12 57 57 12 12 21 21 12 12 63 63 12 57 43 43 57 57 12 12 57 57 57 57 57 57 21 21 57 57 63 63 57 21 43 43 21 21 12 12 21 21 57 57 21 21 21 21 21 21 63 63 21, 



 ,32 34 34 32,23 5 5 23 23 37 37 23 5 5 5 5 5 37 37 5


















74 99 99 74 74 126 126 74 99 99 99 99 99 126 126 99,80 92 92 80 80 112 112 80 80 43 43 80 80 118 118 80 80 123 123 80 80 124 124 80 80 61 61 80 80 106 106 80 92 92 92 92 92 112 112 92 92 43 43 92 92 118 118 92 92 123 123 92 92 124 124 92 92 61 61 92 92 106 106 92 112 92 92 112 112 112 112 112 112 43 43 112 112 118 118 112 112 123 123 112 112 124 124 112 112 61 61 112 112 106 106 112 43 92 92 43 43 112 112 43 43 43 43 43 43 118 118 43 43 123 123 43 43 124 124 43 43 61 61 43 43 106 106 43 118 92 92 118 118 112 112 118 118 43 43 118 118 118 118 118 118 123 123 118 118 124 124 118 118 61 61 118 118 106 106 118 123 92 92 123 123 112 112 123 123 43 43 123 123 118 118 123 123 123 123 123 123 124 124 123 123 61 61 123 123 106 106 123 124 92 92 124 124 112 112 124 124 43 43 124 124 118 118 124 124 123 123 124 124 124 124 124 124 61 61 124 124 106 106 124 61 92 92 61 61 112 112 61 61 43 43 61 61 118 118 61 61 123 123 61 61 124 124 61 61 61 61 61 61 106 106 61, 





47 51 51 47 47 42 47 29 29 47 51 51 51 51 51 42 51 29 29 51 51 42 42 42 42 42 42 29 29 42,3 23 23 3 3 25 25 3 3 27 27 3 23 23 23 23 23 25 25 23 23 27 27 23 25 23 23 25 25 25 25 25 25 27 27 25, 
 ,35 39 35 15 15 35 35 55 55 35 39 39 39 39 39 15 15 39 39 55 55 39 15 39 39 15 15 15 15 15 15 55 55 15,49 42 42 49

 ,34 25, 


 , ,29 1 1 34 34 1 29 29 29 29 29 34 34 29
 ,70 76 76 70 70 79 79 70 76 76 76 76 76 79 79 76,55 39 39 55 55 66 66 55 55 14 14 55 55 19 19 55 39 39 39 39 39 66 66 39 39 14 14 39 39 19 19 39 66 39 39 66 66 66 66 66 66 14 66 19 19 66 14 39 39 14 66 14 14 14 14 14 14 19 19 14


 ,10 8, 


 , ,26 14













 , ,45 6 45 55 55 45 45 58 58 45 45 19 19 45 45 66 66 45 45 71 71 45 45 29 29 45 45 79 79 45 6 6 6 6 6 55 55 6 6 58 58 6 6 19 19 6 6 66 66 6 6 71 71 6 6 29 29 6 6 79 79 6 55 6 6 55 55 55 55 55 55 58 58 55 55 19 19 55 55 66 66 55 55 71 71 55 55 29 29 55 55 79 79 55 58 6 6 58 58 55 55 58 58 58 58 58 58 19 19 58 58 66 66 58 58 71 71 58 58 29 29 58 58 79 79 58 19 6 6 19 19 55 55 19 19 58 58 19 19 19 19 19 19 66 66 19 19 71 71 19 19 29 29 19 19 79 79 19 66 6 6 66 66 55 55 66 66 58 58 66 66 19 19 66 66 66 66 66 66 71 71 66 66 29 29 66 66 79 79 66 71 6 6 71 71 55 55 71 71 58 58 71 71 19 19 71 71 66 66 71 71 71 71 71 71 29 29 71 71 79 79 71 29 6 6 29 29 55 55 29 29 58 58 29 29 19 19 29 29 66 66 29 29 71 71 29 29 29 29 29 29 79 79 29
 , ,24 0 0 40 40 0 24 24 24 24 24 40 40 24


 ,11 13 13 11 11 15 15 11 13 13 13 13 13 15 15 13,34 1
 , ,31 24 24 38 38 24 31 31 31 31 31 38 38 31

 , ,23 0 0 31 31 0 0 14 14 0 23 23 23 23 23 31 31 23 23 14 14 23 31 23 23 31 31 31 31 31 31 14 14 31






 ,59 79 79 59 59 88 88 59 59 91 91 59 59 101 101 59 110 59 79 79 79 79 79 88 88 79 79 91 91 79 79 101 101 79 110 79 88 79 79 88 88 88 88 88 88 91 91 88 88 101 101 88 110 88 91 79 79 91 91 88 88 91 91 91 91 91 91 101 101 91 110 91 101 79 79 101 101 88 88 101 101 91 91 101 101 101 101 101 110 101,98 99 99 98 98 15 15 98 98 17 17 98 98 19 19 98 98 26 26 98 99 99 99 99 99 15 15 99 99 17 17 99 99 19 19 99 99 26 26 99 15 99 99 15 15 15 15 15 15 17 17 15 15 19 19 15 15 26 26 15 17 99 99 17 17 15 15 17 17 17 17 17 17 19 19 17 17 26 26 17 19 99 99 19 19 15 15 19 19 17 17 19 19 19 19 19 19 26 26 19

















 ,32 13 13 32, 
 , ,6 27












 ,48 47,58 29 29 58





70 13 13 70, ,108 40 40 108
